lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.48,19.27280709122803,-11.583986670247088,-3.877729691089021,4.028045551369442,-8.697428311817736,-10.639217038643299,-0.9769173287944347,-6.945257556904373,-22.330011969618283,-1.6725732030463865
0.52,19.271850741714996,-11.583400181796387,-3.8775531000090226,4.027931174766384,-8.696989542296864,-10.63862606968935,-0.9769032822398396,-6.944818753673638,-22.328850657378002,-1.6724126295380006
0.56,19.27089448687156,-11.582813753064894,-3.8773765247638194,4.027816801773894,-8.696550818208857,-10.63803516626671,-0.976889233030217,-6.944380003738454,-22.327689467511608,-1.6722520789872755
0.6,19.269938326683747,-11.582227384043431,-3.87719996535134,4.027702432392499,-8.696112139546475,-10.637444328364484,-0.9768751811666815,-6.943941307089323,-22.326528399999535,-1.6720915513898265
0.64,19.26898226113754,-11.581641074722839,-3.87702342176951,4.027588066622731,-8.695673506302523,-10.63685355597179,-0.976861126650345,-6.943502663716772,-22.32536745482225,-1.671931046741277
0.68,19.268026290218923,-11.581054825093956,-3.8768468940162637,4.027473704465117,-8.695234918469787,-10.636262849077733,-0.9768470694823227,-6.943064073611319,-22.32420663196017,-1.671770565037245
0.72,19.26707041391392,-11.580468635147621,-3.8766703820895305,4.027359345920186,-8.694796376041056,-10.635672207671444,-0.9768330096637281,-6.942625536763475,-22.323045931393764,-1.6716101062733535
0.76,19.26611463220852,-11.579882504874659,-3.8764938859872395,4.027244990988474,-8.694357879009134,-10.635081631742029,-0.9768189471956733,-6.9421870531637655,-22.32188535310347,-1.6714496704452257
0.8,19.265158945088736,-11.579296434265935,-3.876317405707322,4.027130639670498,-8.693919427366813,-10.63449112127862,-0.9768048820792707,-6.941748622802721,-22.32072489706977,-1.671289257548486
0.84,19.26420335254057,-11.578710423312273,-3.8761409412477112,4.02701629196679,-8.693481021106884,-10.633900676270338,-0.976790814315634,-6.941310245670863,-22.319564563273094,-1.671128867578758
0.88,19.26324785455002,-11.578124472004532,-3.8759644926063337,4.026901947877879,-8.693042660222146,-10.633310296706306,-0.9767767439058735,-6.9408719217587205,-22.31840435169394,-1.670968500531669
0.92,19.262292451103125,-11.577538580333549,-3.875788059781123,4.0267876074042945,-8.692604344705407,-10.632719982575663,-0.9767626708511011,-6.940433651056826,-22.317244262312762,-1.670808156402846
0.96,19.26133714218589,-11.576952748290173,-3.875611642770015,4.026673270546557,-8.692166074549457,-10.632129733867522,-0.9767485951524281,-6.939995433555713,-22.316084295110038,-1.670647835187916
1.0,19.26038192778433,-11.576366975865268,-3.875435241570937,4.026558937305201,-8.691727849747117,-10.631539550571038,-0.9767345168109632,-6.939557269245916,-22.314924450066243,-1.6704875368825105
1.04,19.25942680788445,-11.575781263049679,-3.875258856181824,4.026444607680747,-8.691289670291173,-10.630949432675338,-0.9767204358278196,-6.939119158117972,-22.31376472716187,-1.6703272614822584
1.08,19.258471782472302,-11.575195609834253,-3.875082486600611,4.026330281673723,-8.690851536174442,-10.63035938016956,-0.976706352204105,-6.938681100162424,-22.312605126377402,-1.67016700898279
1.12,19.25751685153392,-11.57461001620986,-3.8749061328252297,4.026215959284657,-8.690413447389725,-10.629769393042844,-0.9766922659409295,-6.938243095369812,-22.311445647693336,-1.6700067793797395
1.16,19.25656201505531,-11.574024482167353,-3.8747297948536144,4.026101640514071,-8.689975403929836,-10.629179471284338,-0.9766781770394016,-6.937805143730685,-22.310286291090165,-1.6698465726687397
1.2,19.255607273022488,-11.57343900769759,-3.8745534726836945,4.025987325362493,-8.689537405787584,-10.628589614883188,-0.9766640855006302,-6.937367245235579,-22.30912705654838,-1.6696863888454248
1.24,19.25465262542155,-11.57285359279144,-3.8743771663134137,4.025873013830446,-8.689099452955789,-10.62799982382854,-0.9766499913257233,-6.936929399875052,-22.307967944048503,-1.6695262279054308
1.28,19.253698072238475,-11.572268237439758,-3.8742008757406996,4.025758705918457,-8.688661545427253,-10.627410098109543,-0.9766358945157899,-6.9364916076396534,-22.30680895357103,-1.6693660898443936
1.32,19.252743613459316,-11.571682941633423,-3.8740246009634918,4.025644401627044,-8.688223683194796,-10.626820437715352,-0.9766217950719362,-6.936053868519935,-22.30565008509647,-1.6692059746579513
1.36,19.251789249070136,-11.571097705363291,-3.87384834197972,4.02553010095674,-8.687785866251241,-10.626230842635126,-0.9766076929952696,-6.935616182506454,-22.30449133860536,-1.6690458823417424
1.4,19.25083497905698,-11.570512528620238,-3.873672098787326,4.025415803908063,-8.687348094589398,-10.625641312858018,-0.9765935882868981,-6.935178549589766,-22.3033327140782,-1.668885812891406
1.44,19.24988080340588,-11.569927411395131,-3.8734958713842453,4.025301510481536,-8.686910368202092,-10.625051848373191,-0.9765794809479257,-6.934740969760434,-22.30217421149553,-1.6687257663025836
1.48,19.24892672210289,-11.569342353678849,-3.8733196597684088,4.0251872206776875,-8.68647268708214,-10.624462449169805,-0.9765653709794577,-6.934303443009013,-22.301015830837873,-1.6685657425709162
1.52,19.24797273513407,-11.56875735546227,-3.8731434639377604,4.025072934497038,-8.686035051222369,-10.623873115237034,-0.9765512583826036,-6.933865969326079,-22.29985757208577,-1.6684057416920475
1.56,19.24701884248548,-11.56817241673626,-3.8729672838902327,4.024958651940103,-8.68559746061561,-10.62328384656403,-0.9765371431584654,-6.9334285487021905,-22.29869943521975,-1.668245763661621
1.6,19.246065044143183,-11.567587537491704,-3.8727911196237694,4.024844373007412,-8.685159915254678,-10.622694643139981,-0.9765230253081482,-6.932991181127916,-22.297541420220355,-1.6680858084752805
1.64,19.24511134009323,-11.567002717719486,-3.8726149711363,4.024730097699486,-8.684722415132414,-10.622105504954044,-0.9765089048327567,-6.932553866593828,-22.296383527068137,-1.6679258761286742
1.68,19.24415773032169,-11.5664179574105,-3.87243883842577,4.024615826016848,-8.684284960241635,-10.621516431995403,-0.9764947817333965,-6.9321166050905,-22.295225755743637,-1.6677659666174465
1.72,19.24320421481462,-11.565833256555601,-3.8722627214901104,4.024501557960016,-8.683847550575168,-10.620927424253226,-0.9764806560111681,-6.931679396608507,-22.294068106227428,-1.6676060799372467
1.76,19.24225079355812,-11.5652486151457,-3.872086620327271,4.02438729352951,-8.683410186125863,-10.620338481716713,-0.9764665276671766,-6.9312422411384285,-22.29291057850006,-1.6674462160837245
1.8,19.241297466538242,-11.564664033171681,-3.8719105349351834,4.024273032725855,-8.682972866886539,-10.619749604375023,-0.9764523967025251,-6.9308051386708405,-22.29175317254209,-1.667286375052529
1.84,19.24034423374106,-11.564079510624431,-3.8717344653117847,4.024158775549569,-8.682535592850039,-10.619160792217349,-0.9764382631183143,-6.930368089196327,-22.29059588833409,-1.6671265568393114
1.88,19.23939109515268,-11.563495047494849,-3.871558411455022,4.024044522001173,-8.682098364009203,-10.618572045232884,-0.9764241269156464,-6.929931092705474,-22.289438725856634,-1.6669667614397239
1.92,19.23843805075914,-11.562910643773815,-3.871382373362833,4.023930272081186,-8.681661180356864,-10.617983363410806,-0.976409988095626,-6.929494149188861,-22.288281685090286,-1.66680698884942
1.96,19.237485100546564,-11.562326299452238,-3.8712063510331562,4.023816025790126,-8.681224041885862,-10.617394746740308,-0.9763958466593504,-6.929057258637084,-22.287124766015644,-1.666647239064053
